Model	Trait	Sex	Population	Line	Estimate_Kozeretska	Estimate_Posnien	Estimate_Ritchie	Estimate_Schmidt	SE_Kozeretska	SE_Posnien	SE_Ritchie	SE_Schmidt
lmer_pop	TL	M	YE	YE40	4.705	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	YE	YE48	12.931	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	YE	YE49	5.209	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	YE	YE51	15.759	NA	NA	NA	20.048	NA	NA	NA
lmer_pop	TL	M	YE	YE80	2.606	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	GI	GI10	NA	17.369	NA	NA	NA	10.283	NA	NA
lmer_pop	TL	M	GI	GI7	NA	-10.108	NA	NA	NA	10.283	NA	NA
lmer_pop	TL	M	KA	KA6	NA	-3.93	12.158	NA	NA	10.283	17.163	NA
lmer_pop	TL	M	MU	MU4	NA	48.995	NA	NA	NA	10.283	NA	NA
lmer_pop	TL	M	RE	RE18	NA	-1.874	NA	NA	NA	10.283	NA	NA
lmer_pop	TL	M	YE	YE21	NA	7.086	NA	NA	NA	10.283	NA	NA
lmer_pop	TL	M	GI	GI4	NA	NA	8.485	NA	NA	NA	17.147	NA
lmer_pop	TL	M	GI	GI5	NA	NA	-3.221	NA	NA	NA	17.153	NA
lmer_pop	TL	M	YE	YE11	NA	NA	6.984	NA	NA	NA	17.151	NA
lmer_pop	TL	M	YE	YE15	NA	NA	-5.772	NA	NA	NA	18.209	NA
